Year,Time,Date,TextLocation,StandLocation,Latitude,Longitude,ClimateEvent,Impact,Reference
1477,"""1477-01-01 00:00:01+1""",05-06-1477,Vill of the hamlet of Ratsey in the diocese of York,"Rotsea, East Riding",53.946979,-0.37214639,"Unknown impediment (""...they cannot for certain reasons go to the said church"")",Lack of access to parish church,"Vol. 13, pp. 578-579"
1476,"""1476-01-01 00:00:01+1""",26-06-1476,"Chapel of Bekynell situate within the bounds of the parish church of Staple, diocese of Bath and Wells","Bickenhall, Somerset",50.9712462,-3.017510731,Floods,Lack of access to parish church,"Vol.13, pp. 505-506"
1481,"""1481-01-01 00:00:01+1""",04-05-1481,Monastery of Chestonte in the diocese of London,"Cheshunt Priory, Hertfordshire",51.71758392,-0.01895426,Floods,Loss of revenue,"Vol. 13, p. 273"
1475,"""1475-01-01 00:00:01+1""",04-07-1475,"Places or lands of Baleinmontyn, Coruriniuuair, Drumcayn, and Cnokruag, situate within the bounds of the parish church of Inyscoganayn in the diocese of Cork (commonly called the Four Ploughlands)","Ballymountain, Curranure, Dromkean, and Knockroe, Co. Cork",51.7640543,-8.666550185,"Floods (worsened by warfare, political concerns, and manmade barriers)",Lack of access to parish church,"Vol. 13, pp. 428-429"
1478,"""1478-01-01 00:00:01+1""",29-10-1478,Parish church of Newynton in the diocese of Worcester,"Naunton Beauchamp, Worcestershire",52.170218,-2.0564965,Floods,Lack of access to parish church,"Vol. 13, p. 642"
1479,"""1479-01-01 00:00:01+1""",04-02-1479,Vill of Wyboldeston in diocese of Lincoln,"Wyboston, Bedfordshire",52.17676,-0.34814393,"Floods, winds, tempests",Lack of access to parish church,"Vol. 13, p. 642"
1483,"""1483-01-01 00:00:01+1""",29-08-1483,Bokelont in the diocese of Exeter,"Buckland-Tout-Saints, Devon",50.31427356,-3.774496814,Floods,Lack of access to parish church,"Vol. 13, pp. 862-863"
1476,"""1476-01-01 00:00:01+1""",30-04-1476,Places of Vertranschotis and Hammylton in the diocese of Glasgow,"Shotts, N. Lanarkshire, and Hamilton, S. Lanarkshire",55.845667,-3.8487632,"Cold, mountainous terrain",Lack of access to parish church,"Vol. 13, pp. 489-490"
1474,"""1474-01-01 00:00:01+1""",01-07-1474,"St. Mary's, Wilkesdon, in the diocese of London","St. Mary's, Willesdon, London",51.54963072,-0.250011277,Slenderness of fruits,Loss of revenue,"Vol. 13, p. 383"
1474,"""1474-01-01 00:00:01+1""",09-07-1474,Bellerby hamlet and Skeltoncota within the bounds of the parish of Spennethorne in the diocese of York,"Bellerby and Skelton Cote, North Yorkshire",54.331537,-1.8231231,Floods,Lack of access to parish church,"Vol. 13, p. 383"
